name,url,code,pinyin
荣成,//jobs.zhaopin.com/weihai_re3368/,912,rongcheng
如皋,//jobs.zhaopin.com/nantong_re3394/,10051,rugao
乳山,//jobs.zhaopin.com/weihai_re3367/,10060,rushan
瑞安,//jobs.zhaopin.com/wenzhou_re3385/,10128,ruian
日本,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=505&sm=0&p=1&sf=0,505,riben
瑞典,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=521&sm=0&p=1&sf=0,521,ruidian
瑞士,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=522&sm=0&p=1&sf=0,522,ruishi
上海,//www.zhaopin.com/shanghai/,538,shanghai
深圳,//www.zhaopin.com/shenzhen/,765,shenzhen
沈阳,//www.zhaopin.com/shenyang/,599,shenyang
石家庄,//www.zhaopin.com/shijiazhuang/,565,shijiazhuang
三亚,//www.zhaopin.com/sanya/,800,sanya
汕头,//www.zhaopin.com/shantou/,767,shantou
商丘,//www.zhaopin.com/shangqiu/,732,shangqiu
绍兴,//www.zhaopin.com/shaoxing/,658,shaoxing
四平,//www.zhaopin.com/siping/,615,siping
苏州,//www.zhaopin.com/suzhou/,639,suzhou
宿迁,//www.zhaopin.com/suqian/,648,suqian
宿州,//www.zhaopin.com/su4zhou/,675,suzhou
随州,//www.zhaopin.com/suizhou/,747,suizhou
上饶,//www.zhaopin.com/shangrao/,701,shangrao
邵阳,//www.zhaopin.com/shaoyang/,753,shaoyang
十堰,//www.zhaopin.com/shiyan/,738,shiyan
三门峡,//www.zhaopin.com/sanmenxia/,730,sanmenxia
商洛,//www.zhaopin.com/shangluo/,863,shangluo
松原,//www.zhaopin.com/songyuan/,619,songyuan
遂宁,//www.zhaopin.com/suining/,808,suining
韶关,//www.zhaopin.com/shaoguan/,764,shaoguan
三明,//www.zhaopin.com/sanming/,684,sanming
绥化,//www.zhaopin.com/suihua/,633,suihua
汕尾,//www.zhaopin.com/shanwei/,775,shanwei
